title,location,price,flat area,flat status,year old,no. of bathrooms,description
3 BHK Apartment for sale,Vasai Mumbai,12000000,1445,Ready to move,15 - 16 years old,1 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Evershine Builders Classique, Vasai, Mumbai. It has a salable area of 1445 sqft and is available at a price of Rs. 8,304 per sqft. It is a 15 year old re...Developed by Evershine Builders"
3 BHK Apartment for sale,Vasai Mumbai,7000000,1000,Ready to move,13 - 14 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Well designed 3 bhk multistorey apartment is available at a prime location in Agarwal Nagri. It has a salable area of 1000 sqft and is available at a price of Rs. 7,000 per sqft. It is a semi-furnishe...Developed by Agarwal"
2 BHK Apartment for sale,Vasai Mumbai,8500000,1050,Ready to move,10 - 11 years old,1 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Rajhans Group Dreams, Vasai. It has an area of 1050 sqft . The property is available at a price of Rs. 85.00 lac . This residential property is ready-to-...Developed by Rajhans Group"
3 BHK Apartment for sale,Vasai Mumbai,10000000,1150,Ready to move,3 - 4 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:This spacious 3 bhk multistorey apartment is available for sale and is located in Sai Siddhant Enterprises Palace, one of the most prestigious projects of Vasai. It has a built-up area of 1150 sqft an...Developed by Sai Siddhant Enterprises"
1 BHK Apartment for sale,Vasai Mumbai,3500000,545,Ready to move,14 - 15 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Rashmi Housing Rashmi Residency, Vasai, Mumbai. It has a salable area of 545 sqft and is available at a price of Rs. 6,422 per sqft. It ...Developed by Rashmi Housing"
2 BHK Apartment for sale,Vasai Mumbai,7200000,1000,Ready to move,3 - 4 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Ameya Squares Woods. The house is semi-furnished. It is facing west direction. It is a 3 year old ready-to-move-in propert...Developed by Ameya Squares
2 BHK Apartment for sale,Vasai Mumbai,6800000,1040,Ready to move,0 - 1 year old,1 Bathrooms,2 BHK Property for sale in Vasai Mumbai:It has a built-up area of 1040 sqft and is priced at Rs. 68.00 lac . The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. The time you'll spend here will become...Developed by J M G Realtors
1 BHK Apartment for sale,Vasai Mumbai,5500000,700,Ready to move,13 - 14 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:1 BHK Apartment for sale in Vasai West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Vasai West and offers a premium lifestyle at the best price. ...Developed by Agarwal"
1 BHK Apartment for sale,Vasai Mumbai,3500000,665,Ready to move,7 - 8 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Kamya Group Kalash, one of the most prestigious projects of Vasai. The house is unfurnished. It is a 8 year old ready-...Developed by Kamya Group"
2 BHK Apartment for sale,Vasai Mumbai,11200000,1200,Ready to move,0 - 1 year old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A spacious 2 bhk multistorey apartment is available for sale in BJ Enterprise Moonstone Wing A, Vasai, Mumbai. It has an area of 1200 sqft with a carpet area of 820 sqft . The property is available at...Developed by BJ Enterprise"
1 BHK Apartment for sale,Vasai Mumbai,3400000,535,Ready to move,12 - 13 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Swastik Builders Durvas, Vasai, Mumbai. It has an area of 535 sqft with a carpet area of 386 sqft . The property is available at a price of Rs. 34.00 lac...Developed by Swastik Builders"
1 BHK Apartment for sale,Vasai Mumbai,3700000,650,Ready to move,0 - 1 year old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in J M G Realtors NG Platinum City, Vasai, Mumbai. It has an area of 650 sqft with a carpet area of 420 sqft . The property is available at...Developed by J M G Realtors"
1 BHK Apartment for sale,Vasai Mumbai,3900000,650,Ready to move,3 - 4 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Space Homes Homes, Vasai, Mumbai. It has an area of 650 sqft with a carpet area of 430 sqft . The property is available at a price of Rs. 39.00 lac . It ...Developed by Space Homes"
1 BHK Apartment for sale,Vasai Mumbai,4000000,640,Ready to move,2 - 3 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Future Build Valmiki Heights Vasai, Vasai. It has an area of 640 sqft with a carpet area of 420 sqft . The property is available at a price of Rs. 40.00 ...Developed by Future Build"
1 BHK Apartment for sale,Vasai Mumbai,3800000,593,Ready to move,14 - 15 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Veena Developers Saraswati, one of the most prestigious projects of Vasai. It has a salable area of 593 sqft and is av...Developed by Veena Developers"
1 BHK Apartment for sale,Vasai Mumbai,3800000,650,Ready to move,0 - 1 year old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:1 BHK Apartment for sale in Mumbai. This property is in Vasai East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more ...Developed by J M G Realtors"
1 BHK Apartment for sale,Vasai Mumbai,3599999,650,Ready to move,0 - 1 year old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Vasai East. It is on floor 4 out of 7 floors. The built up area of this pr...Developed by J M G Realtors"
2 BHK Apartment for sale,Vasai Mumbai,7000000,986,Ready to move,2 - 3 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 BHK Apartment for sale in Nalasopara East, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Nalasopara East's most desired properties. Contact now for more i...Developed by DGS Group"
1 BHK Apartment for sale,Vasai Mumbai,3600000,650,Ready to move,10 - 11 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Yashwant Builders And Developers Empire, Vasai, Mumbai. It is an unfurnished property. It is a 10 year old ready-to-move-in property. The time you'll spend he...Developed by Yashwant Builders And Developers"
1 BHK Apartment for sale,Vasai Mumbai,3500000,680,Ready to move,11 - 12 years old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Angel Girnar Height. It is a semi-furnished property. It is a 12 year old ready-to-move-in property. It is made in way to ...Developed by Angel
1 BHK Apartment for sale,Vasai Mumbai,3900000,665,Ready to move,4 - 5 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in DGS Group Sheetal Heights Phase 2, Vasai, Mumbai. It has a built-up area of 665 sqft and is priced at Rs. 39.00 lac . It is an unfurnished property. Its main ...Developed by DGS Group"
2 BHK Apartment for sale,Vasai Mumbai,6700000,1040,Ready to move,4 - 5 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 bhk property is available for sale in Yashwant Infra Emrald Tower Building 3 Wing C, Vasai, Mumbai. It has a built-up area of 1040 sqft and is priced at Rs. 67.00 lac . It is an unfurnished proper...Developed by Yashwant Infra"
1 BHK Apartment for sale,Vasai Mumbai,2500000,565,Ready to move,14 - 15 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Evershine Builders City, Vasai, Mumbai. It has a built-up area of 565 sqft and is priced at Rs. 25.00 lac . This residential property is ready-to-move-in. It ...Developed by Evershine Builders"
3 BHK Apartment for sale,Vasai Mumbai,13000000,3000,Ready to move,14 - 15 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:A spacious 3 bhk multistorey apartment is available for sale in Evershine Builders City, Vasai, Mumbai. It has a built-up area of 3000 sqft and is priced at Rs. 1.30 cr . It has children's play area a...Developed by Evershine Builders"
2 BHK Apartment for sale,Vasai Mumbai,8000000,860,Ready to move,10 - 11 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Rajhans Group Dreams, Vasai, Mumbai. It has an area of 860 sqft . The property is available at a price of Rs. 80.00 lac . It is a semi-furnished property...Developed by Rajhans Group"
3 BHK Apartment for sale,Vasai Mumbai,9500000,1350,Ready to move,14 - 15 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Evershine Builders City, Vasai. It has a built-up area of 1350 sqft and is priced at Rs. 95.00 lac . It is a semi-furnished property. It is east facing p...Developed by Evershine Builders"
2 BHK Apartment for sale,Vasai Mumbai,6200000,810,Ready to move,14 - 15 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Evershine Builders City, Vasai, Mumbai. It has an area of 810 sqft with a carpet area of 670 sqft . The property is available at a price of Rs. 62.00 lac...Developed by Evershine Builders"
1 BHK Apartment for sale,Vasai Mumbai,3800000,695,Ready to move,4 - 5 years old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in RNA NG Builders Shree Ram Van. It has an area of 695 sqft with a carpet area of 427 sqft . The property is available at a ...Developed by RNA NG Builders
1 BHK Apartment for sale,nallasopara W Mumbai,3000000,500,Ready to move,13 - 14 years old,1 Bathrooms,1 BHK Property for sale in nallasopara W Mumbai:It has an area of 500 sqft with a carpet area of 490 sqft . The property is available at a price of Rs. 30.00 lac (negotiable ). The house is unfurnished. It is on 1st floor. The building has a total ...
1 BHK Apartment for sale,Nalasopara East Mumbai,4000000,700,Ready to move,4 - 5 years old,2 Bathrooms,1 BHK Property for sale in Nalasopara East Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Vrindavan Gardens CHSL. It has a built-up area of 700 sqft and is priced at Rs. 40.00 lac . The house is unfurnished. Its ...Developed by Reputed Builder
1 BHK Apartment for sale,Nala Sopara Mumbai,3200000,450,Ready to move,0 - 1 year old,1 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Om Sai Developer Mumbai Sai Heritage. It has an area of 450 sqft with a carpet area of 355 sqft . The property is availabl...Developed by Om Sai Developer Mumbai
1 BHK Apartment for sale,Nala Sopara Mumbai,3300000,565,Ready to move,7 - 8 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Viva Swastik Homes Gulmohar Heritage, Nala Sopara, Mumbai. It has a built-up area of 565 sqft and is priced at Rs. 33.00 lac . It has cc...Developed by Viva Swastik Homes"
1 BHK Apartment for sale,Nala Sopara Mumbai,4200000,695,Ready to move,3 - 4 years old,2 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Veer Global Infraconstruction Splendor. It has a built-up area of 695 sqft and is priced at Rs. 42.00 lac . The house is s...Developed by Veer Global Infraconstruction
1 BHK Apartment for sale,Nala Sopara Mumbai,2750000,580,Ready to move,8 - 9 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Poonam Pallazo, Nala Sopara, Mumbai. It has an area of 580 sqft with a carpet area of 370 sqft . The property is available at a price of...Developed by Poonam"
2 BHK Apartment for sale,Nala Sopara Mumbai,4300000,900,Ready to move,0 - 1 year old,1 Bathrooms,2 BHK Property for sale in Nala Sopara Mumbai:It has an area of 900 sqft with a carpet area of 511 sqft . The property is available at a price of Rs. 43.00 lac . The house is semi-furnished. It is a ready-to-move-in property. The time you'll spen...Developed by Om Sai Developer Mumbai
