title,location,price,flat area,flat status,year old,no. of bathrooms,description
1 BHK Apartment for sale,Vasai Mumbai,4000000 ,550 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in JSB JSB Nakshatra Veda, Vasai, Mumbai. Its main door is facing east direction. It is a ready-to-move-in property. It is situated in the proximity of all ...Developed by JSB"
1 BHK Apartment for sale,Vasai Mumbai,3200000 ,560 ,Ready to move,14 - 15 years old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:It has a built-up area of 560 sqft and is priced at Rs. 32.00 lac . The house is semi-furnished. It has lift available as well as power backup. The project also has children's play area, cctv, interco...Developed by Evershine Builders"
1 BHK Apartment for sale,Vasai Mumbai,4800000 ,650 ,Ready to move,12 - 13 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Near main road, near hospital, mall, dmart, lab, market, and other connectivity. More About This Property Looking for a 1 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 1 BHK proper...Developed by Agarwal"
2 BHK Apartment for sale,Vasai Mumbai,7500000 ,930 ,Ready to move,6 - 7 years old,2 Bathrooms,2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Rajhans Group Kshitij. It has a built-up area of 930 sqft and is priced at Rs. 75.00 lac . The house is semi-furnished. Th...Developed by Rajhans Group
1 BHK Apartment for sale,Vasai Mumbai,3650000 ,675 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in JSB JSB Nakshatra Veda, Vasai, Mumbai. It has a salable area of 675 sqft and is available at a price of Rs. 5,407 per sqft. It is an unfurnished property...Developed by JSB"
1 BHK Apartment for sale,Vasai Mumbai,3900000 ,600 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in PIL Developers Tower, Vasai, Mumbai. It has an area of 600 sqft with a carpet area of 460 sqft . The property is available at a price of Rs. 39.00 lac . ...Developed by PIL Developers"
1 BHK Apartment for sale,Vasai Mumbai,3500000 ,535 ,Ready to move,2 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Welcast Construction Company Naigaon Park Phase II Vadavli Project, Vasai, Mumbai. It has a built-up area of 535 sqft and is priced at Rs. 35.00 lac . It is a...Developed by Welcast Construction Company"
1 BHK Apartment for sale,Vasai Mumbai,4100000 ,665 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Opal Bluebell, one of the most prestigious projects of Vasai. It has a salable area of 665 sqft and is available at a ...Developed by Reputed Builder"
1 BHK Apartment for sale,Vasai Mumbai,3400000 ,650 ,Ready to move,0 - 1 year old,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in J M G Realtors NG Platinum City, Vasai. It has a built-up area of 650 sqft and is priced at Rs. 34.00 lac . It is an unfurnished property. It is east fac...Developed by J M G Realtors"
2 BHK Apartment for sale,Vasai Mumbai,10500000 ,650 ,Ready to move,11 - 12 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Golden Palace, Vasai. It has a built-up area of 650 sqft and is priced at Rs. 1.05 cr . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa a...Developed by Reputed Builder"
1 BHK Apartment for sale,Vasai Mumbai,3905000 ,710 ,Under Construction,None,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:It has an area of 710 sqft with a carpet area of 483 sqft . The property is available at a price of Rs. 39.05 lac . It is a semi-furnished property. It has full power backup as well as children's play...Developed by Samaira Buildcon
1 BHK Apartment for sale,Vasai Mumbai,5000000 ,730 ,Ready to move,4 - 5 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Shelter Group Mumbai Shelter Heights, Vasai, Mumbai. It has an area of 730 sqft with a carpet area of 430 sqft . The property is availab...Developed by Shelter Group Mumbai"
1 BHK Apartment for sale,Vasai Mumbai,3800000 ,565 ,Ready to move,13 - 14 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in Agarwal Nagri, Vasai, Mumbai. It has a built-up area of 565 sqft and is priced at Rs. 38.00 lac . It is an unfurnished property. It is north facing property. ...Developed by Agarwal"
1 BHK Apartment for sale,Vasai Mumbai,3000000 ,610 ,Ready to move,3 - 4 years old,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Jay Jinendra Realtors Jay Vijay Nagar, Vasai, Mumbai. It has a salable area of 610 sqft and is available at a price of Rs. 4,918 per sqft. It is an unfur...Developed by Jay Jinendra Realtors"
2 BHK Apartment for sale,Vasai Mumbai,8200000 ,930 ,Ready to move,10 - 11 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A spacious 2 bhk multistorey apartment is available for sale in Rajhans Group Dreams, Vasai, Mumbai. It has a built-up area of 930 sqft and is priced at Rs. 82.00 lac . The house is semi-furnished. It...Developed by Rajhans Group"
2 BHK Apartment for sale,Vasai Mumbai,4700000 ,800 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Vasai, Mumbai. It is a semi-furnished property. It has cctv as well as children's play area. The project also has power backup. This residential complex ...Developed by Shantee Homes"
2 BHK Apartment for sale,Vasai Mumbai,8000000 ,900 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Kaul Enterprises Heritage City, Vasai. It has a built-up area of 900 sqft and is priced at Rs. 80.00 lac . It is a semi-furnished property. It is a ready...Developed by Kaul Enterprises"
1 RK Studio Apartment for sale,Vasai Mumbai,1750000 ,380 ,Under Construction,None,1 Bathrooms,"1 RK Property for sale in Vasai Mumbai:1 RK Apartment for sale in Vasai East, Mumbai - contact now, for details about the most coveted property. This 1 RK unit is available in Vasai East and offers a premium lifestyle at the best price. It...Developed by Sai Mauli Builders"
1 BHK Apartment for sale,Vasai Mumbai,8500000 ,550 ,Ready to move,32 - 33 years old,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:It is an unfurnished property. Its main door is facing south direction. It is a 33 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society ...Developed by Reputed Builder
2 BHK Apartment for sale,Vasai Mumbai,9250000 ,1235 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:This spacious 2 bhk multistorey apartment is available for sale and is located in Ditya Construction Company Luxuria, one of the most prestigious projects of Vasai. It has an area of 1235 sqft with a ...Developed by Ditya Construction Company"
1 BHK Apartment for sale,Vasai Mumbai,3400000 ,680 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Check out this 1 BHK Apartment for sale in Vasai East, Mumbai. This 1 BHK Apartment is perfect for a modern-day lifestyle. Vasai East is a promising location in Mumbai and this is one of the finest pr...Developed by AV Group"
1 BHK Apartment for sale,Vasai Mumbai,7000000 ,700 ,Ready to move,None,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Janki Regency. It has a built-up area of 700 sqft and is priced at Rs. 70.00 lac . The house is semi-furnished. Its main d...Developed by Reputed Builder
2 BHK Apartment for sale,Vasai Mumbai,5800000 ,1074 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:It has a salable area of 1074 sqft and is available at a price of Rs. 5,400 per sqft. It is a semi-furnished property. Its main door is facing east direction. It is a ready-to-move-in property. It is ...Developed by Aashirwad Developers Palghar"
2 BHK Apartment for sale,Vasai Mumbai,9500000 ,875 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:This spacious 2 bhk multistorey apartment is available for sale and is located in Sunteck Realty Beach Residences, one of the most prestigious projects of Vasai. It has a salable area of 875 sqft and ...Developed by Sunteck Realty"
1 BHK Apartment for sale,Vasai Mumbai,3375000 ,620 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Ruturaj Realtors Classic, Vasai. Its main door is facing east direction. It is an under-construction property and is expected to get completed by 31/12/2...Developed by Ruturaj Realtors"
1 BHK Apartment for sale,Vasai Mumbai,3300000 ,600 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in JSB Nakshatra Aastha Vasai East, one of the most prestigious projects of Vasai. It has a built-up area of 600 sqft and...Developed by JSB"
1 BHK Apartment for sale,Vasai Mumbai,3500000 ,700 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in JSB Nakshatra Veda II. It has a salable area of 700 sqft and is available at a price of Rs. 5,000 per sqft. It is facing e...Developed by JSB"
2 BHK Apartment for sale,Vasai Mumbai,5510000 ,950 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Sai Aashirwad Enterprises Palghar Samriddhi, Vasai. It has a built-up area of 950 sqft and is priced at Rs. 55.10 lac . The house is semi-furnished. It i...Developed by Sai Aashirwad Enterprises Palghar"
1 BHK Apartment for sale,Vasai Mumbai,3450000 ,605 ,Ready to move,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A 1 bhk property is available for sale in JSB Nakshatra Aazstha, Vasai, Mumbai. It has an area of 605 sqft with a carpet area of 305 sqft . The property is available at a price of Rs. 34.50 lac . The ...Developed by JSB"
2 BHK Apartment for sale,Vasai Mumbai,6500000 ,990 ,Ready to move,2 - 3 years old,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Future Build Valmiki Heights Vasai, Vasai, Mumbai. It has an area of 990 sqft with a carpet area of 650 sqft . The property is available at a price of Rs...Developed by Future Build"
1 BHK Apartment for sale,Vasai Mumbai,3700000 ,614 ,Under Construction,None,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in JSB JSB Nakshatra Veda. It is an unfurnished property. This residential complex is under-construction as of now. The expec...Developed by JSB
1 BHK Apartment for sale,Vasai Mumbai,4600000 ,670 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Best 1 BHK Apartment for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Vasai West. It is situated on floor 1. The total number of f...Developed by Kaul Enterprises"
1 BHK Apartment for sale,Vasai Mumbai,3400000 ,605 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Vailankanni Realtors JK Heritage, Vasai, Mumbai. It has a built-up area of 605 sqft and is priced at Rs. 34.00 lac . It is an unfurnished property. It is...Developed by Vailankanni Realtors"
2 BHK Apartment for sale,Vasai Mumbai,6000000 ,850 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Shripal Sattva Sattva Bldg 1, Vasai. It has a salable area of 850 sqft and is available at a price of Rs. 7,058 per sqft. The house is unfurnished. Its m...Developed by Shripal Sattva"
1 BHK Apartment for sale,Vasai Mumbai,3000000 ,650 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Platinum Developers Mumbai Frenny Platinum Tower, Vasai, Mumbai. It has an area of 650 sqft with a carpet area of 400 sqft . The propert...Developed by Platinum Developers Mumbai"
1 BHK Apartment for sale,Vasai Mumbai,3350000 ,575 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in JSB Nakshatra Aastha Vasai East, Vasai, Mumbai. It has an area of 575 sqft with a carpet area of 392 sqft . The property is available at a price of Rs. 3...Developed by JSB"
3 BHK Apartment for sale,Vasai Mumbai,18000000 ,2075 ,Under Construction,None,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:This spacious 3 bhk multistorey apartment is available for sale and is located in Ghanshyam Infra Kanti Dhuri Sheraton, one of the most prestigious projects of Vasai. The house is semi-furnished. This...Developed by Ghanshyam Infra"
3 BHK Apartment for sale,Vasai Mumbai,7500000 ,1250 ,Under Construction,None,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:3 BHK Apartment for sale in Vasai East, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Vasai East and offers a premium lifestyle at the best price. ...Developed by JSB"
1 BHK Apartment for sale,Vasai Mumbai,4500000 ,600 ,Ready to move,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Evan Group Elegance, one of the most prestigious projects of Vasai. It has a built-up area of 600 sqft and is priced a...Developed by Evan Group"
1 BHK Apartment for sale,Vasai Mumbai,3300000 ,700 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Property for sale in Vasai East, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. It is on floor 5. The total number of floors in this building is 23. The built-up area is ...Developed by JSB"
3 BHK Apartment for sale,Vasai Mumbai,11000000 ,1250 ,Ready to move,12 - 13 years old,1 Bathrooms,3 BHK Property for sale in Vasai Mumbai:One of the finest property in Vasai West is now available for sale. This is a 3 BHK Apartment. Make it yours now. It is on floor 4. It is a 7 storeyed building. This Apartment is spacious with a built...Developed by Agrawal Group
1 BHK Apartment for sale,Vasai Mumbai,2500000 ,610 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:1 BHK Apartment for sale in Vasai East, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Vasai East and offers a premium lifestyle at the best price. ...Developed by Solitaire Homes Realtors"
1 BHK Apartment for sale,Vasai Mumbai,5610000 ,755 ,Under Construction,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Manav Builders And Developers Blossom 6A, Vasai, Mumbai. It has a salable area of 755 sqft and is available at a price of Rs. 7,430 per sqft. Its main do...Developed by Manav Builders And Developers"
1 BHK Apartment for sale,Vasai Mumbai,3450000 ,690 ,Under Construction,None,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:One of the finest property in Vasai East is now available for sale. This is a 1 BHK Apartment. Make it yours now. It is on floor 12. It is a 14 storeyed building. This Apartment is spacious with a bui...Developed by Shree Enterprises Vasai East
2 BHK Apartment for sale,Vasai Mumbai,6600000 ,994 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:A 2 bhk property is available for sale in Techton Lifespaces IRA Forming Part Of The Complex Akhand, Vasai, Mumbai. It has a salable area of 994 sqft and is available at a price of Rs. 6,639 per sqft....Developed by Techton Lifespaces"
1 BHK Apartment for sale,Vasai Mumbai,4200000 ,444 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Ornate Universal Ornate Height, Vasai, Mumbai. It has a built-up area of 444 sqft and is priced at Rs. 42.00 lac . Its main door is faci...Developed by Ornate Universal"
2 BHK Apartment for sale,Vasai Mumbai,5500002 ,1250 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:This spacious 2 bhk multistorey apartment is available for sale and is located in JSB JSB Nakshatra Veda, one of the most prestigious projects of Vasai. It has a built-up area of 1250 sqft and is pric...Developed by JSB"
3 BHK Apartment for sale,Vasai Mumbai,12000000 ,1445 ,Ready to move,15 - 16 years old,1 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Evershine Builders Classique, Vasai, Mumbai. It has a salable area of 1445 sqft and is available at a price of Rs. 8,304 per sqft. It is a 15 year old re...Developed by Evershine Builders"
1 BHK Apartment for sale,Vasai Mumbai,3800000 ,610 ,Ready to move,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Ornate Universal Heights, Vasai, Mumbai. It has a built-up area of 610 sqft and is priced at Rs. 38.00 lac . It is an unfurnished property. It is east fa...Developed by Ornate Universal"
2 BHK Apartment for sale,Vasai Mumbai,9200000 ,890 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:This spacious 2 bhk multistorey apartment is available for sale and is located in Sunteck Realty Beach Residences, one of the most prestigious projects of Vasai. The house is semi-furnished. This resi...Developed by Sunteck Realty"
